Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,avg_response_to_tut,avg_correctness_score,avg_question_rt,avg_text_rt,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
5e3b8f110d41ad3a7bc35019,13,1246,227,774,797,0.2857142857142857,0.9,13.119380000019078,15.8482975,151,0.0501317880519881,0.0096619899523018,0.2661934655725226,0.3299253735850947
5e3b8f110d41ad3a7bc35019,30,568,77,377,385,0.2857142857142857,0.9,13.119380000019078,15.8482975,65,0.0523507692506067,0.0124549453820668,4.04150149777799,0.4164027508115371
5e3b8f110d41ad3a7bc35019,34,629,155,300,311,0.2857142857142857,0.9,13.119380000019078,15.8482975,69,0.0492217390917314,0.0090534177467738,-2.0991142496409645,0.4160680637338286
5e3b8f110d41ad3a7bc35019,35,480,95,226,232,0.2857142857142857,0.9,13.119380000019078,15.8482975,59,0.0479915254083399,0.010373827955559,-3.3635240852332307,0.2760510002688727
5e3b8f110d41ad3a7bc35019,36,490,83,180,190,0.2857142857142857,0.9,13.119380000019078,15.8482975,63,0.0513253968624543,0.01082094684597,3.79005345373264,0.4489746541472976
5e3b8f110d41ad3a7bc35019,37,705,232,324,337,0.2857142857142857,0.9,13.119380000019078,15.8482975,73,0.0513232876398689,0.0142099195269414,2.6319325240988896,0.2441268392297079
5e3b8f110d41ad3a7bc35019,38,1156,204,891,909,0.2857142857142857,0.9,13.119380000019078,15.8482975,144,0.0517180555618204,0.0121221674507632,2.740441285416341,0.3598200077597696
5e3b8f110d41ad3a7bc35019,39,318,37,118,132,0.2857142857142857,0.9,13.119380000019078,15.8482975,38,0.0492736842444284,0.0114973953313031,-1.4506276222626764,0.3770112208819963
5e4a1730c94447480594cea4,1,453,33,153,153,0.7142857142857143,0.8,12.593869999998224,15.630645,16,0.0587875000014934,0.0197070841760972,1.261355041093067,0.2669133351825742
5e4a1730c94447480594cea4,2,719,193,262,262,0.7142857142857143,0.8,12.593869999998224,15.630645,32,0.0708156249987974,0.027809108617204,0.0724819179887253,0.1924859646408862
5e4a1730c94447480594cea4,3,644,157,240,240,0.7142857142857143,0.8,12.593869999998224,15.630645,34,0.0652382352934991,0.0239982703253011,-0.1096628729994654,0.2201755185950371
5e4a1730c94447480594cea4,4,756,273,230,230,0.7142857142857143,0.8,12.593869999998224,15.630645,47,0.062774468085804,0.0181573253641326,-0.112040509906561,0.3287958446514824
5e4a1730c94447480594cea4,6,442,61,177,177,0.7142857142857143,0.8,12.593869999998224,15.630645,21,0.0593809523827998,0.0333278354981647,1.230243936175831,0.4357379146849173
5e4a1730c94447480594cea4,13,779,329,197,197,0.7142857142857143,0.8,12.593869999998224,15.630645,43,0.0571604651139197,0.0175332492227838,2.169478975512629,0.4684511291355546
5e4a1730c94447480594cea4,30,621,213,113,113,0.7142857142857143,0.8,12.593869999998224,15.630645,29,0.0612896551721055,0.0196038688743805,1.98643418782738,0.4021418351164562
5e4a1730c94447480594cea4,34,450,136,112,112,0.7142857142857143,0.8,12.593869999998224,15.630645,24,0.0559166666669102,0.0213187948644922,0.6577892342659958,0.3936669082908449
5e4a1730c94447480594cea4,35,402,98,99,99,0.7142857142857143,0.8,12.593869999998224,15.630645,22,0.0520454545460095,0.0112403917611066,0.5926851607674697,0.2796638461616277
5e4a1730c94447480594cea4,36,502,171,140,140,0.7142857142857143,0.8,12.593869999998224,15.630645,25,0.0568439999994136,0.0217674466442757,1.5258212824079187,0.3533278254468273
5e4a1730c94447480594cea4,37,664,266,217,217,0.7142857142857143,0.8,12.593869999998224,15.630645,25,0.0565920000002193,0.0144323109719936,1.253576624153763,0.582643273008805
5e4a1730c94447480594cea4,38,853,428,262,262,0.7142857142857143,0.8,12.593869999998224,15.630645,50,0.0575959999991423,0.0191288430571314,-0.0248949041269209,0.4722623682680759
5e4a1730c94447480594cea4,39,218,55,32,32,0.7142857142857143,0.8,12.593869999998224,15.630645,9,0.050777777777097,0.023059476239229,-1.0919491435556874,0.7217990539525675
5e606b1eaf84e83c728748d7,1,824,356,34,90,0.4285714285714285,0.8,16.513809999981042,21.022055,100,0.0490749999933095,0.0188767420109951,3.2251742919588717,0.4299504572706751
5e606b1eaf84e83c728748d7,2,780,582,18,40,0.4285714285714285,0.8,16.513809999981042,21.022055,99,0.0492535353217474,0.0167776960431844,3.900612911667295,0.2684398125181445
5e606b1eaf84e83c728748d7,3,641,372,14,38,0.4285714285714285,0.8,16.513809999981042,21.022055,104,0.0461346153800335,0.0146875071800496,4.027780236410359,0.4385170701409807
5e606b1eaf84e83c728748d7,4,1477,1139,33,77,0.4285714285714285,0.8,16.513809999981042,21.022055,238,0.0488575630376193,0.015301700291239,3.8139925881792016,0.3678952036331034
5e606b1eaf84e83c728748d7,6,451,223,14,21,0.4285714285714285,0.8,16.513809999981042,21.022055,67,0.0471805969935393,0.0175273054695881,2.404046471376127,0.350107223898886
5e606b1eaf84e83c728748d7,13,1149,888,30,58,0.4285714285714285,0.8,16.513809999981042,21.022055,189,0.0465518518392562,0.0088598100064163,1.6286359764497078,0.3529101846034604
5e606b1eaf84e83c728748d7,30,1948,959,204,293,0.4285714285714285,0.8,16.513809999981042,21.022055,310,0.0474312903293519,0.0114456173774908,4.901373051224839,0.3147945341840769
5e606b1eaf84e83c728748d7,34,562,317,54,75,0.4285714285714285,0.8,16.513809999981042,21.022055,89,0.0475314606688231,0.0165475938590229,4.295765467397411,0.4574893231465576
5e606b1eaf84e83c728748d7,35,637,280,29,48,0.4285714285714285,0.8,16.513809999981042,21.022055,98,0.046184693860033,0.0134073710538464,3.4825844325652984,0.3778747038576364
5e606b1eaf84e83c728748d7,36,508,287,24,36,0.4285714285714285,0.8,16.513809999981042,21.022055,83,0.0482530120482013,0.0183289943607026,3.531859978006205,0.3656428834634773
5e606b1eaf84e83c728748d7,37,638,355,43,55,0.4285714285714285,0.8,16.513809999981042,21.022055,93,0.047676344103454,0.0142778590803772,2.5459462859850603,0.4134416388730391
5e606b1eaf84e83c728748d7,38,898,718,38,78,0.4285714285714285,0.8,16.513809999981042,21.022055,141,0.0493021276426489,0.0179599573095534,3.4224854462263155,0.421237174057994
5e606b1eaf84e83c728748d7,39,214,68,11,21,0.4285714285714285,0.8,16.513809999981042,21.022055,36,0.0444722222142756,0.0107582157608602,-1.0174904698491327,0.4230542370343099
5e6685e1ffed4c405a4db5d0,1,1553,793,5,61,0.0,0.9,11.965640000009556,8.494525,183,0.0310912568313841,0.0124369411649831,0.5935710779640904,0.3741445744164693
5e6685e1ffed4c405a4db5d0,2,2106,1411,8,84,0.0,0.9,11.965640000009556,8.494525,280,0.0305285714293377,0.010868954082116,0.3732356766550734,0.4067644183571594
5e6685e1ffed4c405a4db5d0,3,1673,1014,6,33,0.0,0.9,11.965640000009556,8.494525,202,0.0300603960390714,0.011689329054463,1.5166069831831217,0.3539061170718132
5e6685e1ffed4c405a4db5d0,4,2350,1877,20,132,0.0,0.9,11.965640000009556,8.494525,292,0.0303469178078511,0.0112822348003454,0.8011996465145392,0.3700465402689846
5e6685e1ffed4c405a4db5d0,6,844,166,16,58,0.0,0.9,11.965640000009556,8.494525,111,0.0287207207222269,0.0116966126906887,0.8438503285300147,0.3618031714580691
5e6685e1ffed4c405a4db5d0,13,1990,1371,71,156,0.0,0.9,11.965640000009556,8.494525,260,0.0290784615386004,0.011524089151712,0.5229892907260142,0.3382625177548927
5e6685e1ffed4c405a4db5d0,30,1608,474,124,204,0.0,0.9,11.965640000009556,8.494525,195,0.0280051282045201,0.0109556262615361,1.019977449192224,0.2989912370242862
5e6685e1ffed4c405a4db5d0,34,1368,543,48,143,0.0,0.9,11.965640000009556,8.494525,155,0.0271929032273426,0.0125480898826796,0.6152996117773363,0.3771826144747113
5e6685e1ffed4c405a4db5d0,35,1165,256,98,176,0.0,0.9,11.965640000009556,8.494525,167,0.0292730538908672,0.011898377116375,0.4650150416964251,0.4030530676810453
5e6685e1ffed4c405a4db5d0,36,1406,361,103,174,0.0,0.9,11.965640000009556,8.494525,181,0.0310165745863628,0.0113498287507476,0.9859785904496672,0.3332520222181533
5e6685e1ffed4c405a4db5d0,37,1833,935,122,140,0.0,0.9,11.965640000009556,8.494525,220,0.03049681818355,0.0111666634843884,0.5149443458166951,0.2912043840119739
5e6685e1ffed4c405a4db5d0,38,2375,1713,11,99,0.0,0.9,11.965640000009556,8.494525,305,0.029163934428224,0.0123429666855265,0.2843840416734503,0.3545135048449561
5e6685e1ffed4c405a4db5d0,39,541,112,6,10,0.0,0.9,11.965640000009556,8.494525,42,0.0263952380958146,0.011435864694312,0.2844883580324756,0.4265365266272813
