Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
596e1af7a09655000197d4bb,39,87,3,27,49,22,0.0478636363652661,0.0137587217527132,-1.778403908524389,0.3682352589387345
596e1af7a09655000197d4bb,40,279,65,67,120,50,0.0481400000026181,0.0098685648117093,-2.222222764709783,0.3953196473041818
5af835d8e19f8c00019e6dc0,1,830,136,136,253,138,0.033605797101148,0.0205805689965713,0.8647028394192635,0.4532319974522439
5af835d8e19f8c00019e6dc0,2,1537,347,222,472,324,0.0320240740720711,0.0208272692932045,1.0127134650397656,0.2899829917907304
5af835d8e19f8c00019e6dc0,3,989,293,120,207,242,0.0272512396692239,0.0180857093383283,1.4147563456342889,0.3851706906616599
5af835d8e19f8c00019e6dc0,4,1630,613,99,300,391,0.0271005115084475,0.017384377004509,1.4746493044185112,0.3597944823671625
5af835d8e19f8c00019e6dc0,5,525,49,73,123,67,0.0399104477625252,0.0216361869607564,0.3007381140210901,0.4677708240464036
5af835d8e19f8c00019e6dc0,6,936,259,141,249,179,0.0336251396646758,0.0184749172308244,0.5164142635045338,0.3779758824754405
5af835d8e19f8c00019e6dc0,7,1093,355,83,248,267,0.0284958801497459,0.0188684250572435,1.4634402746538997,0.3546388110576297
5af835d8e19f8c00019e6dc0,8,272,53,9,34,70,0.0281071428568978,0.0218732337362685,2.735163288851272,0.3306276646152577
5af835d8e19f8c00019e6dc0,9,1081,405,58,205,208,0.0338836538467567,0.019010302879433,0.5904866002340621,0.3365460075185355
5af835d8e19f8c00019e6dc0,10,371,76,14,57,50,0.0500219999998818,0.0089152996218117,-2.500216841726109,0.4228107495062023
5af835d8e19f8c00019e6dc0,11,764,30,328,388,80,0.0491400000009682,0.006194844733185,-7.1372803194250585,0.3402188064586933
5af835d8e19f8c00019e6dc0,12,622,2,156,236,64,0.0529171875014022,0.0124692199412051,0.4063282699710959,0.3518913990340938
5af835d8e19f8c00019e6dc0,13,2121,126,600,882,243,0.052474897119516,0.0101504583768015,1.8789411658289,0.2997787710432199
5af835d8e19f8c00019e6dc0,14,882,18,284,394,89,0.0517471910112987,0.0090179378044675,1.8801108063244547,0.3140992476673248
5af835d8e19f8c00019e6dc0,15,391,2,117,148,47,0.0505340425525509,0.0118740725304091,-0.5622840275035933,0.2506937163283431
5af835d8e19f8c00019e6dc0,16,338,4,113,145,34,0.051002941175417,0.0147753169533384,1.5368403093876697,0.3497678046945756
5af835d8e19f8c00019e6dc0,17,216,10,34,66,18,0.0515833333303601,0.0185455321966724,-0.0770984476528177,0.3718333449886497
5af835d8e19f8c00019e6dc0,18,457,24,94,158,46,0.0538195652203794,0.0162740641603164,-0.0227138882903801,0.4171012491346934
5af835d8e19f8c00019e6dc0,19,213,2,60,85,17,0.0507058823529257,0.0204201943755902,-0.6480294289349875,0.5284923949080559
5af835d8e19f8c00019e6dc0,20,1154,66,371,459,126,0.0514841269847463,0.0097544690312444,0.8845469935120637,0.3487239366874524
5af835d8e19f8c00019e6dc0,21,841,8,322,420,91,0.0529472527473826,0.0105265520456587,2.1987539687567668,0.3533990128322399
5af835d8e19f8c00019e6dc0,22,1131,48,270,475,147,0.0522374149663518,0.012201404649699,2.282375466080242,0.3239668641857697
5af835d8e19f8c00019e6dc0,23,132,0,36,56,15,0.0455533333329474,0.0133157729615273,-3.324055106893503,0.5690085846505646
5af835d8e19f8c00019e6dc0,24,936,32,362,530,112,0.0556392857140167,0.014788815819421,1.3740225474638936,0.374001050199283
5af835d8e19f8c00019e6dc0,25,687,10,309,447,77,0.0548168831171946,0.0128705028166353,1.4641307996281234,0.4754806835597094
5af835d8e19f8c00019e6dc0,26,1358,52,320,608,180,0.0505111111116736,0.0066896642427291,5.933424314516273,0.4390137492059003
5af835d8e19f8c00019e6dc0,27,570,10,128,260,51,0.0526078431362066,0.0112310434655123,1.432119677315262,0.3910166638966173
5af835d8e19f8c00019e6dc0,28,1084,28,176,345,120,0.0534458333322488,0.0120594458619623,1.4322045612147434,0.3537351010712583
5af835d8e19f8c00019e6dc0,29,1380,64,478,684,130,0.0512761538445462,0.0103254318644687,1.9460743000977865,0.3389012561996759
5af835d8e19f8c00019e6dc0,30,1493,36,635,835,147,0.0511122448975932,0.0095227981509084,2.3050691286176592,0.3580737838153403
5af835d8e19f8c00019e6dc0,31,760,26,266,354,49,0.0575571428586045,0.0313238128262955,4.749526363030595,0.3084475497743936
5af835d8e19f8c00019e6dc0,32,1022,44,264,433,133,0.0503849624065943,0.0089008468816539,-0.3761121851725641,0.3857937849734542
5af835d8e19f8c00019e6dc0,33,498,0,211,280,65,0.0536507692316841,0.0141745604367259,0.8458465848138301,0.4127845566065187
5af835d8e19f8c00019e6dc0,34,1002,0,446,616,135,0.0501807407409071,0.0063330040081865,8.129307891117444,0.3039722890140011
5af835d8e19f8c00019e6dc0,35,860,2,503,573,89,0.0513146067401014,0.0118536391667001,0.0688635608700548,0.3431138009593917
5af835d8e19f8c00019e6dc0,36,1020,52,522,606,88,0.0532659090909003,0.0121095372921605,1.1380271788712597,0.362505469085231
5af835d8e19f8c00019e6dc0,37,1761,366,515,725,69,0.0509985507247379,0.0097340139348782,1.007043370665448,0.3332291066535965
5af835d8e19f8c00019e6dc0,38,1879,57,1043,1287,198,0.0525843434337956,0.0116823745644888,1.1839174454363004,0.424939181863335
