Participant,Probe,TUT,Disengage,Awareness,FMT
62695a9549ef754a8767ab71,4,1,1,7,1
62695a9549ef754a8767ab71,5,0,1,1,1
62695a9549ef754a8767ab71,6,0,1,1,1
62695a9549ef754a8767ab71,7,0,1,1,1
628e565e37a823270e7c996e,1,1,7,7,6
628e565e37a823270e7c996e,2,1,5,5,7
628e565e37a823270e7c996e,3,0,1,7,1
628e565e37a823270e7c996e,4,1,7,7,7
628e565e37a823270e7c996e,5,1,1,7,6
628e565e37a823270e7c996e,6,1,6,5,6
628e565e37a823270e7c996e,7,1,7,7,7
6294de1b341cd20e308d1a4a,1,1,4,6,5
6294de1b341cd20e308d1a4a,2,0,3,4,4
6294de1b341cd20e308d1a4a,3,1,5,5,6
6294de1b341cd20e308d1a4a,4,1,5,4,5
6294de1b341cd20e308d1a4a,5,0,4,6,4
6294de1b341cd20e308d1a4a,6,0,3,4,3
6294de1b341cd20e308d1a4a,7,1,5,4,4
62a74daa695f792361470dd1,1,0,2,3,3
62a74daa695f792361470dd1,2,0,3,3,2
62a74daa695f792361470dd1,3,1,2,4,4
62a74daa695f792361470dd1,4,1,5,4,4
62a74daa695f792361470dd1,5,1,6,4,1
62a74daa695f792361470dd1,6,0,4,3,3
62a74daa695f792361470dd1,7,0,4,4,3
62b7a7e776f241c59cf27ac9,1,0,1,5,3
62b7a7e776f241c59cf27ac9,2,0,1,4,2
62b7a7e776f241c59cf27ac9,3,0,1,1,3
62b7a7e776f241c59cf27ac9,4,0,1,3,1
62b7a7e776f241c59cf27ac9,5,0,1,2,1
62b7a7e776f241c59cf27ac9,6,1,1,3,2
62b7a7e776f241c59cf27ac9,7,0,1,1,2
62c8ce353a6e2dd3977a4fef,1,0,3,6,2
62c8ce353a6e2dd3977a4fef,2,0,5,6,5
62c8ce353a6e2dd3977a4fef,3,1,2,5,6
62c8ce353a6e2dd3977a4fef,4,1,6,1,6
62c8ce353a6e2dd3977a4fef,5,0,4,6,5
62c8ce353a6e2dd3977a4fef,6,0,5,6,5
62c8ce353a6e2dd3977a4fef,7,0,5,6,5
62cd8af88ff531583cbd24a9,1,1,7,5,5
62cd8af88ff531583cbd24a9,2,0,6,3,6
62cd8af88ff531583cbd24a9,3,0,6,3,5
62cd8af88ff531583cbd24a9,4,1,4,1,3
62cd8af88ff531583cbd24a9,5,1,5,1,7
62cd8af88ff531583cbd24a9,6,0,2,2,2
62cd8af88ff531583cbd24a9,7,1,5,5,6
62e0010a466c578a0123e186,1,0,4,6,5
62e0010a466c578a0123e186,2,1,5,6,5
62e0010a466c578a0123e186,3,1,5,4,4
62e0010a466c578a0123e186,4,1,4,4,3
62e0010a466c578a0123e186,5,1,4,4,5
62e0010a466c578a0123e186,6,1,4,5,4
62e0010a466c578a0123e186,7,1,6,4,4
62e097c92160176b0b9c2619,1,0,2,6,6
62e097c92160176b0b9c2619,2,0,1,7,7
62e097c92160176b0b9c2619,3,0,1,6,6
62e097c92160176b0b9c2619,4,0,3,5,4
62e097c92160176b0b9c2619,5,0,4,7,6
62e097c92160176b0b9c2619,6,0,6,7,4
62e097c92160176b0b9c2619,7,0,7,7,5
632100c39d4c93aa71d32feb,1,1,3,5,4
632100c39d4c93aa71d32feb,2,0,1,5,3
632100c39d4c93aa71d32feb,3,1,3,4,4
632100c39d4c93aa71d32feb,4,1,3,6,5
632100c39d4c93aa71d32feb,5,1,3,5,4
632100c39d4c93aa71d32feb,6,0,2,6,3
632100c39d4c93aa71d32feb,7,0,2,6,2
6321da5de806efad3e53163f,1,0,1,7,7
6321da5de806efad3e53163f,2,0,1,7,7
6321da5de806efad3e53163f,3,0,1,7,7
6321da5de806efad3e53163f,4,0,1,7,7
6321da5de806efad3e53163f,5,0,1,7,7
6321da5de806efad3e53163f,6,0,1,7,7
