Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp
5dce29700ad506063969a4a5,7,974,270,22,91
5dce29700ad506063969a4a5,8,289,6,5,5
5dce29700ad506063969a4a5,9,1637,617,83,177
5dce29700ad506063969a4a5,10,525,88,80,146
5dce29700ad506063969a4a5,11,713,155,71,95
5dce29700ad506063969a4a5,12,903,118,31,92
5dce29700ad506063969a4a5,13,1721,895,108,122
5dce29700ad506063969a4a5,14,941,452,28,63
5dce29700ad506063969a4a5,15,786,239,53,81
5dce29700ad506063969a4a5,16,300,55,2,12
5dce29700ad506063969a4a5,17,161,32,0,3
5dce29700ad506063969a4a5,18,480,106,13,70
5dce29700ad506063969a4a5,19,409,44,65,123
5dce29700ad506063969a4a5,20,1781,777,181,244
5dce29700ad506063969a4a5,21,1216,342,103,177
5dce29700ad506063969a4a5,22,1029,422,114,127
5dce29700ad506063969a4a5,23,175,47,0,0
5dce29700ad506063969a4a5,24,1146,405,213,253
5dce29700ad506063969a4a5,25,1359,527,45,189
5dce29700ad506063969a4a5,26,1520,752,215,291
5dce29700ad506063969a4a5,27,523,129,18,79
5dce29700ad506063969a4a5,28,994,333,16,134
5dce29700ad506063969a4a5,29,1429,631,233,254
5dce29700ad506063969a4a5,30,1704,807,166,222
5dce29700ad506063969a4a5,31,1102,406,76,90
5dce29700ad506063969a4a5,32,1122,385,70,178
5dce29700ad506063969a4a5,33,824,133,23,37
5dce29700ad506063969a4a5,34,1140,321,150,282
5dce29700ad506063969a4a5,35,940,237,54,54
5dce29700ad506063969a4a5,36,1156,575,37,180
5dce29700ad506063969a4a5,37,1388,420,183,350
5dce29700ad506063969a4a5,38,1947,1491,47,86
5dce29700ad506063969a4a5,39,447,23,211,222
5dce29700ad506063969a4a5,40,1258,363,298,341
5df861926aab7c5f659dfd85,1,542,131,210,289
5df861926aab7c5f659dfd85,2,997,501,62,142
5df861926aab7c5f659dfd85,3,726,443,39,65
5df861926aab7c5f659dfd85,4,1067,782,14,88
5df861926aab7c5f659dfd85,5,149,26,38,42
5df861926aab7c5f659dfd85,6,678,220,189,345
5df861926aab7c5f659dfd85,7,717,282,113,169
5df861926aab7c5f659dfd85,8,152,46,32,46
5df861926aab7c5f659dfd85,9,629,54,174,316
5df861926aab7c5f659dfd85,10,269,44,21,79
5df861926aab7c5f659dfd85,11,435,114,122,182
5df861926aab7c5f659dfd85,12,293,77,48,72
5df861926aab7c5f659dfd85,13,1376,658,76,248
5df861926aab7c5f659dfd85,14,474,244,14,81
5df861926aab7c5f659dfd85,15,390,124,24,84
5df861926aab7c5f659dfd85,16,190,14,60,82
5df861926aab7c5f659dfd85,17,99,0,22,52
5df861926aab7c5f659dfd85,18,376,64,64,164
5df861926aab7c5f659dfd85,19,362,100,57,150
5df861926aab7c5f659dfd85,20,973,144,208,454
5df861926aab7c5f659dfd85,21,573,48,122,242
5df861926aab7c5f659dfd85,22,765,209,108,188
5df861926aab7c5f659dfd85,23,63,0,2,10
5df861926aab7c5f659dfd85,24,605,212,114,212
5df861926aab7c5f659dfd85,25,700,89,172,286
5df861926aab7c5f659dfd85,26,899,168,118,296
5df861926aab7c5f659dfd85,27,263,26,44,94
5df861926aab7c5f659dfd85,28,388,20,172,252
5df861926aab7c5f659dfd85,29,1069,102,287,463
5df861926aab7c5f659dfd85,30,791,48,205,377
5df861926aab7c5f659dfd85,31,439,6,273,337
5df861926aab7c5f659dfd85,32,405,78,71,115
5df861926aab7c5f659dfd85,33,291,3,124,158
5df861926aab7c5f659dfd85,34,710,218,58,138
5df861926aab7c5f659dfd85,35,640,26,264,282
5df861926aab7c5f659dfd85,36,538,28,239,327
5df861926aab7c5f659dfd85,37,641,54,143,235
5df861926aab7c5f659dfd85,38,1168,346,341,511
5df861926aab7c5f659dfd85,39,147,43,4,8
5df861926aab7c5f659dfd85,40,604,204,109,157
5e26341c63251a881e185ecf,1,658,189,68,162
5e26341c63251a881e185ecf,2,1017,419,230,322
5e26341c63251a881e185ecf,3,911,329,188,343
5e26341c63251a881e185ecf,4,1087,413,303,438
5e26341c63251a881e185ecf,5,206,13,105,140
5e26341c63251a881e185ecf,6,706,143,291,419
5e26341c63251a881e185ecf,7,579,133,139,229
5e26341c63251a881e185ecf,8,138,24,16,31
5e26341c63251a881e185ecf,9,754,263,145,272
5e26341c63251a881e185ecf,10,291,31,89,116
5e26341c63251a881e185ecf,11,543,120,129,205
5e26341c63251a881e185ecf,12,630,215,52,156
5e26341c63251a881e185ecf,13,1186,776,93,225
